dataset,split,m,seed,k,ndcg_at_10,mrr_at_10,candidate_recall_at_k,reranked_recall_at_100,delta_ndcg10_vs_projected_exact,delta_ci95_low,delta_ci95_high,pq_search_mean_ms,rerank_p50_ms,code_bytes_per_doc,serialized_index_bytes
arguana,strict_confirmatory,84,42,50,0.4353163829554822,0.3600307857425295,0.8247330960854092,0.8247330960854092,-0.006468054234195245,-0.011395277676069945,-0.001806590703230058,0.07312609464549347,0.0381,84,1416830
arguana,strict_confirmatory,84,42,100,0.4396303327901209,0.36267970118059084,0.905693950177936,0.905693950177936,-0.0021541043995565302,-0.004544870017680346,-5.320622994957015e-05,0.07337006266704087,0.0444,84,1416830
arguana,strict_confirmatory,84,42,200,0.44146061249798724,0.36352066034005537,0.9466192170818505,0.9421708185053381,-0.0003238246916902605,-0.001576650063973091,0.0008925405031083727,0.08106005350602216,0.0503,84,1416830
arguana,validation,96,42,20,0.43262112935190883,0.36248170663064283,0.75177304964539,0.75177304964539,-0.015231376452831392,-0.029797118839633686,-0.0016174713670366442,0.10707269501971438,0.0269,96,1520918
arguana,validation,96,42,50,0.4477387588847941,0.3714384217043792,0.8581560283687943,0.8581560283687943,-0.00011374691994611423,-0.006042180477965776,0.00541578059773022,0.08996985753641483,0.0338,96,1520918
arguana,validation,96,42,100,0.45195271610712157,0.3728653045142407,0.9184397163120568,0.9184397163120568,0.004100210302381388,0.001025052575595347,0.008200420604762776,0.09300851045136756,0.05085,96,1520918
arguana,validation,96,42,200,0.44990261095593087,0.3721560846560847,0.950354609929078,0.9397163120567376,0.002050105151190694,0.0,0.005125262877976736,0.09632517719073287,0.09684999999999999,96,1520918
arguana,strict_confirmatory,96,42,20,0.43259666951424663,0.3575562757724679,0.7357651245551602,0.7357651245551602,-0.009187767675430817,-0.015874407345756986,-0.0027270121874257785,0.08178355673309731,0.0123,96,1520918
arguana,strict_confirmatory,96,42,50,0.4381487139162407,0.3618048494605435,0.8469750889679716,0.8469750889679716,-0.0036357232734367606,-0.006616122493945155,-0.0008743093855724038,0.0904745308281163,0.02,96,1520918
arguana,strict_confirmatory,96,42,100,0.4409875147767023,0.3634034485680393,0.9048042704626335,0.9048042704626335,-0.0007969224129751853,-0.0025429500546695805,0.000863310273470676,0.08999919572926665,0.0366,96,1520918
arguana,strict_confirmatory,96,42,200,0.44147305922836544,0.36353937185787716,0.947508896797153,0.9377224199288257,-0.00031137796131201,-0.001387842112851177,0.0006549711758348674,0.09106577293309812,0.0548,96,1520918
fiqa,validation,32,42,20,0.2313370957322879,0.31971746031746034,0.24337046287046285,0.24337046287046285,-0.1622728203710527,-0.18908186375928168,-0.1369118153740531,0.09871979989111423,0.03435,32,2532630
fiqa,validation,32,42,50,0.2768528036882976,0.36463253968253967,0.31614335664335663,0.31614335664335663,-0.11675711241504294,-0.1410492525372663,-0.09341441477587734,0.08812560001388192,0.05445,32,2532630
fiqa,validation,32,42,100,0.3142660111942456,0.3986428571428572,0.4129075202575202,0.4129075202575202,-0.07934390490909504,-0.10128730223212967,-0.0586446316210454,0.11652699997648597,0.05395,32,2532630
fiqa,validation,32,42,200,0.3433148322327738,0.4292563492063492,0.5029263958263959,0.49628902208902204,-0.05029508387056679,-0.06893394723521162,-0.03252727050868929,0.10507919965311885,0.104,32,2532630
fiqa,strict_confirmatory,32,42,20,0.18691937725176663,0.2823492308446012,0.186856010930085,0.186856010930085,-0.19319974389206215,-0.21646762686497623,-0.17061259763150077,0.08690848775541433,0.0252,32,2532630
fiqa,strict_confirmatory,32,42,50,0.23439889855485976,0.3338979521849892,0.2764276875387987,0.2764276875387987,-0.14572022258896902,-0.1678703182618697,-0.12427128092040311,0.08987021570691815,0.0464,32,2532630
fiqa,strict_confirmatory,32,42,100,0.2915032552962255,0.38752388300999413,0.37900757078997815,0.37900757078997815,-0.08861586584760325,-0.10666105173273621,-0.07111537667422013,0.09652006189787278,0.0658,32,2532630
fiqa,strict_confirmatory,32,42,200,0.3225784642388977,0.4157946306094455,0.4929703312805165,0.48507424074553707,-0.05754065690493107,-0.07334604474179048,-0.04253110075691646,0.08707222231249842,0.0754,32,2532630
fiqa,validation,48,42,20,0.2942661334645305,0.3880873015873016,0.31014109779109783,0.31014109779109783,-0.09934378263881004,-0.121735231578921,-0.07758700672970435,0.16842140024527907,0.0256,48,3454838
fiqa,validation,48,42,50,0.33834009264509074,0.4301817460317461,0.40640208680208684,0.40640208680208684,-0.0552698234582498,-0.07409550081985032,-0.0372052518359153,0.18162119993939996,0.0262,48,3454838
fiqa,validation,48,42,100,0.3550859060429082,0.43688888888888894,0.47782803307803307,0.47782803307803307,-0.03852401006043236,-0.05514303371014168,-0.02266394021622999,0.19022460002452135,0.06675,48,3454838
fiqa,validation,48,42,200,0.36423414738760174,0.44638968253968253,0.5545376512376513,0.5420447219447219,-0.02937576871573881,-0.04352012742828847,-0.015875017607538552,0.18534139962866902,0.0778,48,3454838
fiqa,strict_confirmatory,48,42,20,0.2735627415562266,0.3767795904369978,0.29013085679752343,0.29013085679752343,-0.10655637958760211,-0.12599998782584715,-0.08787138530071903,0.17296466049393294,0.0139,48,3454838
fiqa,strict_confirmatory,48,42,50,0.31302378700681704,0.4098281648050167,0.3842766801100135,0.3842766801100135,-0.06709533413701174,-0.0833193351266878,-0.05193691173083099,0.18512160462660737,0.0394,48,3454838
fiqa,strict_confirmatory,48,42,100,0.3438579235170383,0.4374712179110328,0.46675309858180225,0.46675309858180225,-0.03626119762679048,-0.04892581400092331,-0.024377243314889985,0.18012206778677617,0.0643,48,3454838
fiqa,strict_confirmatory,48,42,200,0.3573194906413681,0.44501028806584364,0.5404534851294109,0.530368212891361,-0.022799630502460685,-0.03298358734697816,-0.013348418218718261,0.18403472207820065,0.07405,48,3454838
fiqa,validation,84,17,20,0.35424631355878833,0.44075952380952377,0.41189891219891217,0.41189891219891217,-0.039363602544552324,-0.05460986279306631,-0.025342151324805526,0.3702484001405537,0.0152,84,5529806
fiqa,validation,84,17,50,0.3758739311147589,0.4568261904761905,0.5009472027972027,0.5009472027972027,-0.017735984988581647,-0.02777088479190048,-0.008331523360019898,0.39040839998051524,0.0221,84,5529806
fiqa,validation,84,17,100,0.3786415167805044,0.46036507936507937,0.5785534299034298,0.5785534299034298,-0.014968399322836183,-0.023509598444349623,-0.007065197857914607,0.3745047999545932,0.06655,84,5529806
fiqa,validation,84,17,200,0.3869335104607129,0.46746190476190475,0.6539142468642469,0.6441715118215118,-0.006676405642627651,-0.01222011564428662,-0.0016407986469994798,0.3895197999663651,0.0713,84,5529806
fiqa,strict_confirmatory,84,17,20,0.3330602188953948,0.4273044042719968,0.38903906878443917,0.38903906878443917,-0.04705890224843401,-0.060298686071196934,-0.03464803946986377,0.3700455248982496,0.01345,84,5529806
fiqa,strict_confirmatory,84,17,50,0.3584343229816499,0.44529014795218497,0.5015488840720321,0.5015488840720321,-0.021684798162178862,-0.03158932136801718,-0.012255843344441858,0.3750891975173152,0.0174,84,5529806
fiqa,strict_confirmatory,84,17,100,0.3697708681937327,0.45177469135802467,0.5835992496872127,0.5835992496872127,-0.010348252950096015,-0.017809827377611463,-0.0032492002501548554,0.37846481499411627,0.0343,84,5529806
