suite,encoder,dataset,epsilon,sigma,gallery_size,chance_r1,chance_r10,linkage_r1,linkage_r1_ci95_low,linkage_r1_ci95_high,linkage_r10,linkage_r10_ci95_low,linkage_r10_ci95_high,pairwise_auc_contribution,pairwise_auc_contribution_ci95_low,pairwise_auc_contribution_ci95_high
miracl,multilingual-e5-small,bn,64.0,0.26380843334171206,5000,0.0002,0.002,0.057291666666666664,0.03125,0.08463541666666666,0.20052083333333334,0.16015625,0.24352213541666648,0.9156901041666666,0.9018534342447917,0.9296061197916666
miracl,multilingual-e5-small,bn,128.0,0.16683264581484528,5000,0.0002,0.002,0.2669270833333333,0.21875,0.31640625,0.5755208333333334,0.5169270833333333,0.6341145833333333,0.9861653645833334,0.98095703125,0.9903991699218749
miracl,multilingual-e5-small,bn,256.0,0.10865852949393662,5000,0.0002,0.002,0.7903645833333334,0.7486979166666667,0.828125,0.9466145833333334,0.9244791666666667,0.9661458333333333,0.999755859375,0.999267578125,1.0
miracl,multilingual-e5-small,bn,512.0,0.0723951243591535,5000,0.0002,0.002,0.9947916666666666,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miracl,multilingual-e5-small,bn,1024.0,0.049054348512207455,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miracl,multilingual-e5-small,bn,2048.0,0.03364862959799442,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miracl,multilingual-e5-small,bn,4096.0,0.023285155746839942,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miracl,multilingual-e5-small,bn,8192.0,0.01621503157066274,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miracl,multilingual-e5-small,bn,16384.0,0.011342138868479306,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miracl,multilingual-e5-small,bn,32768.0,0.007958795070825649,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
